GH76.hmm	358	gene_10003|GeneMark.hmm|416_aa|-|2020|3270	416	9e-34	30	328	74	383	0.832402234636871
GH43.hmm	248	gene_10152|GeneMark.hmm|932_aa|-|412|3210	932	1e-38	2	244	481	792	0.975806451612903
CE6.hmm	99	gene_10152|GeneMark.hmm|932_aa|-|412|3210	932	3.6e-07	2	95	164	268	0.939393939393939
CBM6.hmm	138	gene_10152|GeneMark.hmm|932_aa|-|412|3210	932	9.2e-17	16	138	817	932	0.884057971014493
GH2.hmm	752	gene_10169|GeneMark.hmm|1031_aa|-|139|3234	1031	2.7e-221	17	750	35	912	0.974734042553192
CBM34.hmm	120	gene_10173|GeneMark.hmm|182_aa|-|2|547	182	6.1e-06	4	113	9	121	0.908333333333333
GT35.hmm	674	gene_10174|GeneMark.hmm|801_aa|-|710|3115	801	5.2e-251	2	673	91	794	0.995548961424332
CBM32.hmm	124	gene_10196|GeneMark.hmm|1071_aa|+|2|3217	1071	8.2e-10	20	109	197	292	0.717741935483871
GH13_8.hmm	274	gene_10209|GeneMark.hmm|669_aa|+|1176|3185	669	1.4e-107	1	274	219	510	0.996350364963504
CBM48.hmm	76	gene_10209|GeneMark.hmm|669_aa|+|1176|3185	669	8.1e-12	3	72	52	135	0.907894736842105
GH2.hmm	752	gene_10221|GeneMark.hmm|1052_aa|+|1|3159	1052	7.6e-221	14	749	68	923	0.977393617021277
GH109.hmm	126	gene_10238|GeneMark.hmm|326_aa|-|862|1842	326	2.4e-13	2	120	2	111	0.936507936507937
GH78.hmm	504	gene_10260|GeneMark.hmm|714_aa|-|32|2176	714	9.5e-119	4	483	191	677	0.950396825396825
GH141.hmm	527	gene_10261|GeneMark.hmm|336_aa|-|2191|3201	336	3.9e-124	253	527	6	297	0.519924098671727
GH106.hmm	824	gene_10304|GeneMark.hmm|1055_aa|-|2|3166	1055	1.3e-216	94	821	340	1055	0.882281553398058
GH33.hmm	342	gene_10312|GeneMark.hmm|343_aa|-|16|1047	343	2.2e-09	120	323	24	254	0.593567251461988
GT2.hmm	168	gene_10329|GeneMark.hmm|329_aa|-|1|987	329	2.4e-21	4	166	10	178	0.964285714285714
CE1.hmm	227	gene_10339|GeneMark.hmm|293_aa|+|2135|3016	293	6.1e-24	1	175	36	222	0.766519823788546
GH1.hmm	429	gene_1035|GeneMark.hmm|478_aa|-|6079|7515	478	1.3e-148	4	428	2	475	0.988344988344988
