GH1.hmm	429	gene_1035|GeneMark.hmm|478_aa|-|6079|7515	478	1.3e-148	4	428	2	475	0.988344988344988
GH97.hmm	631	gene_1057|GeneMark.hmm|632_aa|+|3|1901	632	3.4e-188	12	630	7	631	0.979397781299525
GH13_4.hmm	398	gene_1108|GeneMark.hmm|343_aa|-|10639|11670	343	9.7e-83	188	398	1	211	0.527638190954774
GT28.hmm	157	gene_1124|GeneMark.hmm|375_aa|-|2858|3985	375	3.7e-48	2	155	195	358	0.974522292993631
GH9.hmm	418	gene_1155|GeneMark.hmm|830_aa|+|1405|3897	830	6e-29	12	361	393	766	0.834928229665072
GT2.hmm	168	gene_1168|GeneMark.hmm|806_aa|+|8012|10432	806	1.9e-26	1	138	271	409	0.81547619047619
GT2.hmm	168	gene_1168|GeneMark.hmm|806_aa|+|8012|10432	806	2.7e-17	1	167	529	709	0.988095238095238
GT2.hmm	168	gene_1169|GeneMark.hmm|263_aa|+|10518|11309	263	2e-10	2	167	5	195	0.982142857142857
GH3.hmm	216	gene_1231|GeneMark.hmm|1000_aa|-|5944|8946	1000	8.1e-46	23	213	707	899	0.87962962962963
GH2.hmm	752	gene_1232|GeneMark.hmm|639_aa|-|9001|10920	639	4.1e-104	29	523	4	568	0.656914893617021
GH23.hmm	135	gene_1274|GeneMark.hmm|221_aa|-|10274|10939	221	4.3e-23	10	124	54	215	0.844444444444444
GT4.hmm	160	gene_1279|GeneMark.hmm|366_aa|+|3829|4929	366	2.8e-30	7	157	174	326	0.9375
GT4.hmm	160	gene_1280|GeneMark.hmm|395_aa|+|5077|6264	395	5.2e-19	8	155	221	361	0.91875
GT4.hmm	160	gene_1281|GeneMark.hmm|397_aa|+|6269|7462	397	1.6e-10	10	133	225	340	0.76875
CE3.hmm	194	gene_1330|GeneMark.hmm|220_aa|+|1|663	220	6.2e-14	50	184	69	209	0.690721649484536
CE2.hmm	209	gene_1331|GeneMark.hmm|361_aa|+|673|1758	361	1.3e-54	2	209	146	347	0.990430622009569
CE3.hmm	194	gene_1332|GeneMark.hmm|229_aa|+|1770|2459	229	1.2e-13	54	188	69	210	0.690721649484536
GT2.hmm	168	gene_1374|GeneMark.hmm|333_aa|+|1287|2288	333	5.7e-26	2	168	6	177	0.988095238095238
GH43_26.hmm	292	gene_1392|GeneMark.hmm|336_aa|-|124|1134	336	9.9e-55	12	292	15	312	0.958904109589041
GH2.hmm	752	gene_1398|GeneMark.hmm|1006_aa|-|1|3018	1006	5.4e-204	29	748	62	905	0.956117021276596
GH88.hmm	329	gene_1400|GeneMark.hmm|387_aa|-|4736|5899	387	2.6e-123	5	329	51	379	0.984802431610942
GH2.hmm	752	gene_1401|GeneMark.hmm|598_aa|-|5902|7698	598	3.8e-120	22	489	5	591	0.621010638297872
GH73.hmm	128	gene_1417|GeneMark.hmm|518_aa|+|5251|6807	518	2.2e-34	2	128	12	144	0.984375
GH2.hmm	752	gene_1442|GeneMark.hmm|1414_aa|-|28|4272	1414	4.1e-237	22	749	54	919	0.966755319148936
CBM32.hmm	124	gene_1442|GeneMark.hmm|1414_aa|-|28|4272	1414	4.6e-21	14	122	1288	1408	0.870967741935484
CBM32.hmm	124	gene_1442|GeneMark.hmm|1414_aa|-|28|4272	1414	6e-24	8	122	1141	1265	0.919354838709677
GH97.hmm	631	gene_1444|GeneMark.hmm|655_aa|-|8541|10508	655	8.3e-195	3	630	17	654	0.993660855784469
CE4.hmm	130	gene_1467|GeneMark.hmm|204_aa|-|9837|10451	204	2.8e-25	8	121	25	131	0.869230769230769
